path,method,uncompressed_size,compressed_size,data_offset
ABBS/Text/globalmenu.ansi,-lh5-,934,398,435392
ABBS/Text/globalmenu.raw,-lh5-,1077,419,435849
ABBS/Text/Grabformat,-lh5-,145,94,436323
ABBS/Text/Grabformat.ansi,-lh5-,301,147,436477
ABBS/Text/GrabFormat.raw,-lh5-,363,167,436683
ABBS/Text/loginfile,-lh5-,905,242,436904
ABBS/Text/loginfile.bak,-lh5-,904,242,437204
ABBS/Text/logintxt1,-lh5-,1236,599,437500
ABBS/Text/logintxt2,-lh5-,641,378,438153
ABBS/Text/logoutfile,-lh5-,212,77,438586
ABBS/Text/logoutfile.ansi,-lh5-,464,130,438723
ABBS/Text/logoutfile.raw,-lh5-,602,176,438912
ABBS/Text/mainmenu,-lh5-,305,120,439141
ABBS/Text/mainmenu.ansi,-lh5-,446,183,439319
ABBS/Text/mainmenu.raw,-lh5-,544,202,439559
ABBS/Text/maintenance,-lh5-,749,247,439817
ABBS/Text/maintenance.ansi,-lh5-,1055,330,440125
ABBS/Text/maintenance.raw,-lh5-,1203,357,440515
ABBS/Text/markmenu,-lh5-,1242,434,440925
ABBS/Text/markmenu.ansi,-lh5-,1490,511,441417
ABBS/Text/markmenu.raw,-lh5-,1705,539,441985
ABBS/Text/messagefilterhelp,-lh5-,359,208,442586
ABBS/Text/MiscMenu,-lh0-,30,30,442847
ABBS/Text/MiscMenu.ansi,-lh0-,30,30,442935
ABBS/Text/MiscMenu.raw,-lh0-,30,30,443022
ABBS/Text/nodemenu,-lh5-,1883,293,443105
ABBS/Text/nodepublicmenu,-lh5-,1036,250,443457
ABBS/Text/postloginfile,-lh5-,895,218,443765
ABBS/Text/postloginfile.ansi,-lh5-,1440,245,444046
ABBS/Text/postloginfile.raw,-lh5-,1593,373,444353
ABBS/Text/protocolslist,-lh5-,457,172,444784
ABBS/Text/protocolslist.ansi,-lh5-,576,227,445019
ABBS/Text/protocolslist.raw,-lh5-,851,256,445308
ABBS/Text/readmenu,-lh5-,1009,343,445617
ABBS/Text/readmenu.ansi,-lh5-,1278,421,446018
ABBS/Text/readmenu.raw,-lh5-,1506,477,446496
ABBS/Text/scrformatlist,-lh5-,351,130,447031
ABBS/Text/scrformatlist.ansi,-lh5-,582,175,447224
ABBS/Text/scrformatlist.raw,-lh5-,692,199,447461
ABBS/Text/searchmenu,-lh5-,495,158,447715
ABBS/Text/searchmenu.ansi,-lh5-,508,206,447933
ABBS/Text/searchmenu.raw,-lh5-,745,233,448198
ABBS/Text/SigOpmaintenance,-lh5-,349,134,448492
ABBS/Text/SigOpmaintenance.ansi,-lh5-,510,201,448692
ABBS/Text/SigOpmaintenance.raw,-lh5-,610,223,448958
ABBS/Text/sigopmenu,-lh5-,354,140,449235
ABBS/Text/sigopmenu.ansi,-lh5-,525,210,449434
ABBS/Text/sigopmenu.raw,-lh5-,625,229,449702
ABBS/Text/sysopmenu,-lh5-,1207,403,449985
ABBS/Text/sysopmenu.ansi,-lh5-,1592,493,450447
ABBS/Text/sysopmenu.raw,-lh5-,2027,548,450998
ABBS/Text/upload,-lh5-,203,102,451597
ABBS/Text/upload.ansi,-lh5-,470,157,451755
ABBS/Text/upload.raw,-lh5-,405,178,451967
ABBS/Text/utilitymenu,-lh5-,637,226,452201
ABBS/Text/utilitymenu.ansi,-lh5-,932,307,452488
ABBS/Text/utilitymenu.raw,-lh5-,1047,330,452855
ABBS/Utils.info,-lh5-,1233,736,453235
ABBS/Utils/abbsusers,-lh5-,2600,1601,454026
ABBS/Utils/AddFile,-lh5-,15780,9645,455680
ABBS/Utils/AddMsg,-lh5-,13860,8565,465377
ABBS/Utils/Broadcast,-lh5-,6252,4208,473997
ABBS/Utils/checkconferences,-lh5-,14280,9083,478267
ABBS/Utils/ConfigBBS,-lh5-,30808,16042,487405
ABBS/Utils/ConfigBBS.info,-lh5-,1603,1009,503507
ABBS/Utils/Confignode,-lh5-,36664,16703,504572
ABBS/Utils/Confignode.info,-lh5-,1603,1011,521336
ABBS/Utils/ConvertConfig,-lh5-,12800,7648,522406
ABBS/Utils/ditopconfs,-lh5-,16592,10257,530110
ABBS/Utils/ditoplogins,-lh5-,17444,10661,540424
ABBS/Utils/ditopwriters,-lh5-,16312,10104,551143
ABBS/Utils/FE,-lh5-,73372,30454,561295
ABBS/Utils/FE.info,-lh5-,1603,1012,591802
ABBS/Utils/flextractor,-lh5-,16880,10235,592871
ABBS/Utils/flmaker,-lh5-,13860,8692,603159
ABBS/Utils/SysopAvail,-lh5-,2872,1634,611907
ABBS/Utils/UserEditor,-lh5-,27772,13476,613597
ABBS/Utils/UserEditor.info,-lh5-,1603,1011,627134
ABBS/Utils/ZapFile,-lh5-,6792,4522,628198
ABBS/ABBS,-lh5-,251604,118816,632764
